Rank,Symbol,Security,Company,GICS Sector,Weight (%)
324,BIIB,Biogen,Biogen Inc,Health Care,0.04
325,CFG,Citizens Financial Group,Citizens Financial Group Inc,Financials,0.04
326,XYL,Xylem Inc.,Xylem Inc/NY,Industrials,0.04
327,FE,FirstEnergy,FirstEnergy Corp,Utilities,0.04
328,HUBB,Hubbell Incorporated,Hubbell Inc,Industrials,0.04
329,EIX,Edison International,Edison International,Utilities,0.04
330,CTRA,Coterra,Coterra Energy Inc,Energy,0.04
331,ARES,Ares Management,Ares Management Corp,Financials,0.04
332,ES,Eversource Energy,Eversource Energy,Utilities,0.04
333,KHC,Kraft Heinz,Kraft Heinz Co/The,Consumer Staples,0.04
334,IQV,IQVIA,IQVIA Holdings Inc,Health Care,0.04
335,ROL,"Rollins, Inc.",Rollins Inc,Industrials,0.04
336,CNC,Centene Corporation,Centene Corp,Health Care,0.04
337,STZ,Constellation Brands,Constellation Brands Inc,Consumer Staples,0.04
338,WRB,W. R. Berkley Corporation,W R Berkley Corp,Financials,0.04
339,MTD,Mettler Toledo,Mettler-Toledo International Inc,Health Care,0.04
340,AVB,AvalonBay Communities,AvalonBay Communities Inc,Real Estate,0.04
341,SYF,Synchrony Financial,Synchrony Financial,Financials,0.04
342,DG,Dollar General,Dollar General Corp,Consumer Staples,0.04
343,CINF,Cincinnati Financial,Cincinnati Financial Corp,Financials,0.04
344,AWK,American Water Works,American Water Works Co Inc,Utilities,0.04
345,CTSH,Cognizant,Cognizant Technology Solutions Corp,Information Technology,0.04
346,VRSN,Verisign,VeriSign Inc,Information Technology,0.04
347,EQR,Equity Residential,Equity Residential,Real Estate,0.04
348,LYB,LyondellBasell,LyondellBasell Industries NV,Materials,0.04
349,BG,Bunge Global,Bunge Global SA,Consumer Staples,0.04
350,WTW,Willis Towers Watson,Willis Towers Watson PLC,Financials,0.04
351,RF,Regions Financial Corporation,Regions Financial Corp,Financials,0.04
352,FIS,Fidelity National Information Services,Fidelity National Information Services Inc,Financials,0.04
353,FICO,Fair Isaac,Fair Isaac Corp,Information Technology,0.04
354,PPG,PPG Industries,PPG Industries Inc,Materials,0.04
355,EXE,Expand Energy,Expand Energy Corp,Energy,0.04
356,KEY,KeyCorp,KeyCorp,Financials,0.04
357,VRSK,Verisk Analytics,Verisk Analytics Inc,Industrials,0.04
358,DXCM,Dexcom,Dexcom Inc,Health Care,0.04
359,CMS,CMS Energy,CMS Energy Corp,Utilities,0.04
360,JBHT,J.B. Hunt,JB Hunt Transport Services Inc,Industrials,0.04
361,SBAC,SBA Communications,SBA Communications Corp,Real Estate,0.04
362,ULTA,Ulta Beauty,Ulta Beauty Inc,Consumer Discretionary,0.04
363,NI,NiSource,NiSource Inc,Utilities,0.04
364,L,Loews Corporation,Loews Corp,Financials,0.03
365,ALB,Albemarle Corporation,Albemarle Corp,Materials,0.03
366,FSLR,First Solar,First Solar Inc,Information Technology,0.03
367,CHD,Church & Dwight,Church & Dwight Co Inc,Consumer Staples,0.03
368,PHM,PulteGroup,PulteGroup Inc,Consumer Discretionary,0.03
369,TSN,Tyson Foods,Tyson Foods Inc,Consumer Staples,0.03
370,DRI,Darden Restaurants,Darden Restaurants Inc,Consumer Discretionary,0.03
371,TROW,T. Rowe Price,T Rowe Price Group Inc,Financials,0.03
372,NTAP,NetApp,NetApp Inc,Information Technology,0.03
373,RL,Ralph Lauren Corporation,Ralph Lauren Corp,Consumer Discretionary,0.03
374,OMC,Omnicom Group,Omnicom Group Inc,Communication Services,0.03
375,PFG,Principal Financial Group,Principal Financial Group Inc,Financials,0.03
376,LEN,Lennar,Lennar Corp,Consumer Discretionary,0.03
377,VLTO,Veralto,Veralto Corp,Industrials,0.03
378,WSM,"Williams-Sonoma, Inc.",Williams-Sonoma Inc,Consumer Discretionary,0.03
379,DGX,Quest Diagnostics,Quest Diagnostics Inc,Health Care,0.03
380,WST,West Pharmaceutical Services,West Pharmaceutical Services Inc,Health Care,0.03
381,CHTR,Charter Communications,Charter Communications Inc,Communication Services,0.03
382,LH,Labcorp,Labcorp Holdings Inc,Health Care,0.03
383,STE,Steris,STERIS PLC,Health Care,0.03
384,CHRW,C.H. Robinson,CH Robinson Worldwide Inc,Industrials,0.03
385,EFX,Equifax,Equifax Inc,Industrials,0.03
386,SW,Smurfit Westrock,Smurfit WestRock PLC,Materials,0.03
387,CPAY,Corpay,Corpay Inc,Financials,0.03
388,GPN,Global Payments,Global Payments Inc,Financials,0.03
389,SNA,Snap-on,Snap-on Inc,Industrials,0.03
390,EXPD,Expeditors International,Expeditors International of Washington Inc,Industrials,0.03
391,BRO,Brown & Brown,Brown & Brown Inc,Financials,0.03
392,PKG,Packaging Corporation of America,Packaging Corp of America,Materials,0.03
393,INCY,Incyte,Incyte Corp,Health Care,0.03
394,LNT,Alliant Energy,Alliant Energy Corp,Utilities,0.03
395,HPQ,HP Inc.,HP Inc,Information Technology,0.03
396,EVRG,Evergy,Evergy Inc,Utilities,0.03
397,DD,DuPont,DuPont de Nemours Inc,Materials,0.03
398,LUV,Southwest Airlines,Southwest Airlines Co,Industrials,0.03
399,CF,CF Industries,CF Industries Holdings Inc,Materials,0.03
400,LDOS,Leidos,Leidos Holdings Inc,Industrials,0.03
401,DLTR,Dollar Tree,Dollar Tree Inc,Consumer Staples,0.03
402,GIS,General Mills,General Mills Inc,Consumer Staples,0.03
403,FFIV,"F5, Inc.",F5 Inc,Information Technology,0.03
404,LII,Lennox International,Lennox International Inc,Industrials,0.03
405,IFF,International Flavors & Fragrances,International Flavors & Fragrances Inc,Materials,0.03
406,FTV,Fortive,Fortive Corp,Industrials,0.03
407,MRNA,Moderna,Moderna Inc,Health Care,0.03
408,BR,Broadridge Financial Solutions,Broadridge Financial Solutions Inc,Industrials,0.03
